iter	RMSE
0	3.978338944
1	3.615336224
2	3.284998955
3	2.990577647
4	2.727294475
5	2.484394847
6	2.267338263
7	2.070901087
8	1.904017831
9	1.743120698
10	1.605041211
11	1.475779854
12	1.357966672
13	1.257634715
14	1.164633415
15	1.082677486
16	1.016182053
17	0.9568015754
18	0.895266973
19	0.8436231435
20	0.7980850613
21	0.7586754414
22	0.7223758207
23	0.6902562793
24	0.662773822
25	0.6393771433
26	0.6132445925
27	0.5923412714
28	0.5746983458
29	0.5565954494
30	0.5401793783
31	0.5274833898
32	0.5156418594
33	0.5055726467
34	0.497123635
35	0.4879376329
36	0.4801718071
37	0.4726975109
38	0.4667835704
39	0.4612512551
40	0.455280734
41	0.4498463514
42	0.4461485664
43	0.4427656155
44	0.4400179841
45	0.4364500213
46	0.4328081121
47	0.4306934561
48	0.4278813901
49	0.4259054187
50	0.4239263857
51	0.4215975336
52	0.4197098893
53	0.4181051184
54	0.4161408934
55	0.4149182793
56	0.4127272404
57	0.4110090896
58	0.4094997778
59	0.4082796931
60	0.4072156722
61	0.4056994685
62	0.4045948118
63	0.4026667657
64	0.4010870151
65	0.3996410293
66	0.3980122563
67	0.3959400073
68	0.3947909988
69	0.3936604428
70	0.3924998806
71	0.3914426013
72	0.3897142808
73	0.3887756756
74	0.3877015751
75	0.3867707108
76	0.3849958615
77	0.3844889095
78	0.3826173203
79	0.3814996532
80	0.3805536312
81	0.3782047124
82	0.3766807839
83	0.3747066747
84	0.3731489667
85	0.372407054
86	0.3712765436
87	0.3702591934
88	0.3693175386
89	0.3682624908
90	0.3666348832
91	0.3658223063
92	0.3647764921
93	0.3634895374
94	0.3626495304
95	0.3614463872
96	0.3600141743
97	0.3589353457
98	0.3576172878
99	0.3567488295
100	0.3556178509
101	0.3544784191
102	0.3530573708
103	0.3523154519
104	0.3510858748
105	0.3503668849
106	0.3496039931
107	0.348796011
108	0.3479069843
109	0.3468315265
110	0.34591515
111	0.3447192213
112	0.3432317486
113	0.3420756493
114	0.340870561
115	0.3401398867
116	0.3387165906
117	0.3376607515
118	0.3369156985
119	0.3362230872
120	0.3355077999
121	0.3346864948
122	0.333618514
123	0.332670549
124	0.3317655519
125	0.331091945
126	0.329995819
127	0.3291247071
