iter	Passed	Remaining
0	4	2336
1	8	2156
2	11	1968
3	15	1931
4	18	1851
5	22	1845
6	25	1791
7	28	1752
8	31	1719
9	34	1682
10	38	1697
11	40	1666
12	44	1661
13	47	1645
14	50	1628
15	54	1639
16	57	1620
17	60	1608
18	62	1591
19	65	1578
20	69	1582
21	72	1577
22	75	1575
23	79	1567
24	81	1555
25	85	1559
26	88	1554
27	91	1543
28	94	1533
29	97	1523
30	100	1521
31	104	1521
32	106	1511
33	109	1503
34	112	1494
35	115	1493
36	119	1493
37	122	1487
38	125	1480
39	128	1472
40	131	1468
41	134	1463
42	137	1464
43	141	1465
44	144	1463
45	148	1466
46	152	1467
47	155	1467
48	159	1466
49	165	1491
50	169	1489
51	172	1488
52	176	1486
53	180	1487
54	183	1488
55	187	1484
56	190	1482
57	194	1483
58	198	1481
59	201	1475
60	204	1469
61	207	1464
62	210	1459
63	213	1457
64	216	1451
65	220	1447
66	223	1443
67	226	1438
68	229	1435
69	232	1428
70	235	1422
71	238	1418
72	241	1412
73	245	1412
74	248	1407
75	251	1402
76	254	1396
77	257	1391
78	260	1389
79	263	1384
80	266	1379
81	269	1374
82	272	1368
83	275	1365
84	278	1359
85	281	1355
86	284	1349
87	287	1344
88	290	1339
89	293	1338
90	297	1338
91	301	1338
92	306	1341
93	311	1344
94	315	1344
95	320	1349
96	326	1355
97	330	1354
98	334	1353
99	339	1356
100	343	1357
101	347	1356
102	352	1357
103	357	1360
104	361	1361
105	365	1360
106	370	1359
107	374	1359
108	379	1360
109	383	1358
110	388	1361
111	391	1357
112	395	1355
113	399	1353
114	404	1353
115	408	1353
116	412	1350
117	416	1348
118	420	1347
119	424	1344
120	428	1342
121	433	1342
122	437	1340
123	441	1338
124	445	1336
125	449	1334
126	453	1333
127	458	1332
128	462	1330
129	467	1330
130	472	1329
131	476	1327
132	480	1325
133	484	1324
134	488	1321
135	492	1317
136	496	1314
137	500	1312
138	504	1309
139	507	1305
140	511	1301
141	514	1298
142	518	1293
143	521	1288
144	524	1285
145	527	1279
146	532	1277
147	536	1275
148	540	1272
149	545	1272
150	550	1271
151	554	1268
152	558	1265
153	561	1262
154	565	1259
155	569	1255
156	572	1251
157	575	1246
158	578	1240
159	582	1237
160	585	1232
161	588	1227
162	591	1222
163	594	1217
164	597	1213
165	601	1209
166	603	1204
167	606	1199
168	609	1194
169	613	1191
170	616	1186
171	619	1181
172	622	1177
173	625	1172
174	629	1168
175	632	1164
176	635	1160
177	638	1155
178	642	1151
179	645	1147
180	648	1142
181	651	1137
182	653	1132
183	656	1127
184	660	1124
185	664	1121
186	667	1116
187	670	1112
188	673	1108
189	677	1105
190	680	1100
191	683	1096
192	686	1092
193	690	1089
194	693	1084
195	696	1080
196	699	1075
