,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-05-06T01:00:00Z,11.3,1007.4,88.6,10.9,8.7,0.0
1,2024-05-06T02:00:00Z,10.9,1007.7,86.5,10.4,8.7,0.0
2,2024-05-06T03:00:00Z,10.4,1008.2,85.4,9.8,8.7,0.0
3,2024-05-06T04:00:00Z,9.8,1008.7,84.5,11.0,8.7,0.0
4,2024-05-06T05:00:00Z,9.0,1009.4,85.8,12.1,8.7,0.0
5,2024-05-06T06:00:00Z,8.7,1010.0,84.6,13.1,8.9,0.0
6,2024-05-06T07:00:00Z,8.9,1010.6,80.5,13.5,9.1,0.0
7,2024-05-06T08:00:00Z,9.1,1011.4,75.2,13.8,9.8,0.0
8,2024-05-06T09:00:00Z,9.8,1011.9,70.7,13.8,11.0,0.0
9,2024-05-06T10:00:00Z,11.0,1012.3,66.2,13.8,12.1,0.0
10,2024-05-06T11:00:00Z,12.1,1012.7,60.2,13.8,13.1,0.0
11,2024-05-06T12:00:00Z,13.1,1013.0,56.2,13.8,12.6,0.0
12,2024-05-06T13:00:00Z,13.5,1013.1,53.3,13.8,11.0,0.0
13,2024-05-06T14:00:00Z,13.8,1013.4,52.0,13.8,9.2,0.0
14,2024-05-06T15:00:00Z,13.8,1013.8,56.2,13.8,8.4,0.0
15,2024-05-06T16:00:00Z,13.8,1014.0,54.5,13.3,8.2,0.0
16,2024-05-06T17:00:00Z,13.3,1014.5,53.1,12.6,8.0,0.0
17,2024-05-06T18:00:00Z,12.6,1015.0,56.0,11.0,7.7,0.0
18,2024-05-06T19:00:00Z,11.0,1015.5,63.9,9.2,7.5,0.0
19,2024-05-06T20:00:00Z,9.2,1016.2,68.6,8.4,7.1,0.0
20,2024-05-06T21:00:00Z,8.4,1017.2,68.3,8.2,6.7,0.0
21,2024-05-06T22:00:00Z,8.2,1018.0,61.9,8.0,6.6,0.0
22,2024-05-06T23:00:00Z,8.0,1019.0,60.7,7.7,6.6,0.0
23,2024-05-07T00:00:00Z,7.7,1019.8,60.9,8.4,6.6,0.0
24,2024-05-07T01:00:00Z,7.5,1020.2,62.2,9.6,6.6,0.0
25,2024-05-07T02:00:00Z,7.1,1020.6,64.5,10.9,6.6,0.0
26,2024-05-07T03:00:00Z,6.7,1021.0,67.0,12.0,6.6,0.0
27,2024-05-07T04:00:00Z,6.6,1021.2,69.4,13.0,7.3,0.0
28,2024-05-07T05:00:00Z,7.3,1021.6,70.3,14.2,8.4,0.0
29,2024-05-07T06:00:00Z,8.4,1021.9,67.1,15.0,9.6,0.0
30,2024-05-07T07:00:00Z,9.6,1022.1,63.1,15.1,10.9,0.0
31,2024-05-07T08:00:00Z,10.9,1022.2,60.6,15.1,12.0,0.0
32,2024-05-07T09:00:00Z,12.0,1022.3,61.4,15.1,13.0,0.0
33,2024-05-07T10:00:00Z,13.0,1022.3,61.2,15.1,14.1,0.0
34,2024-05-07T11:00:00Z,14.2,1022.3,60.1,15.1,13.4,0.0
35,2024-05-07T12:00:00Z,15.0,1022.3,59.9,15.1,12.4,0.0
36,2024-05-07T13:00:00Z,15.1,1022.4,61.2,14.8,11.4,0.0
37,2024-05-07T14:00:00Z,14.8,1022.4,63.9,14.5,10.3,0.0
38,2024-05-07T15:00:00Z,14.5,1022.3,68.6,14.1,9.6,0.0
39,2024-05-07T16:00:00Z,14.1,1022.2,69.0,13.4,9.3,0.0
40,2024-05-07T17:00:00Z,13.4,1022.3,66.6,12.4,8.8,0.0
41,2024-05-07T18:00:00Z,12.4,1022.4,65.9,11.4,8.5,0.0
42,2024-05-07T19:00:00Z,11.4,1022.4,67.5,10.3,8.0,0.0
43,2024-05-07T20:00:00Z,10.3,1022.4,69.3,9.6,7.7,0.0
44,2024-05-07T21:00:00Z,9.6,1022.5,73.0,9.3,7.2,0.0
45,2024-05-07T22:00:00Z,9.3,1022.6,76.1,8.8,7.1,0.0
46,2024-05-07T23:00:00Z,8.8,1022.7,78.9,8.5,7.1,0.0
47,2024-05-08T00:00:00Z,8.5,1022.9,81.8,10.5,7.1,0.0
48,2024-05-08T01:00:00Z,8.0,1023.1,86.5,,,
49,2024-05-08T02:00:00Z,7.7,1023.1,90.3,,,
50,2024-05-08T03:00:00Z,7.2,1023.0,92.3,,,
51,2024-05-08T04:00:00Z,7.1,1023.2,93.8,,,
52,2024-05-08T05:00:00Z,8.2,1023.5,88.7,,,
53,2024-05-08T06:00:00Z,10.5,1023.8,74.5,16.2,10.9,0.0
54,2024-05-08T12:00:00Z,16.2,1023.8,57.6,16.2,12.7,0.0
55,2024-05-08T18:00:00Z,12.7,1024.5,76.1,12.7,8.1,0.0
56,2024-05-09T00:00:00Z,8.1,1025.1,87.7,9.1,7.3,0.0
57,2024-05-09T06:00:00Z,9.1,1023.2,88.0,13.9,9.1,0.0
58,2024-05-09T12:00:00Z,13.9,1020.7,65.1,13.9,12.5,0.0
59,2024-05-09T18:00:00Z,12.9,1016.8,80.5,12.9,8.7,0.0
60,2024-05-10T00:00:00Z,9.1,1016.7,89.6,11.1,7.1,0.0
61,2024-05-10T06:00:00Z,11.1,1018.9,71.8,17.0,11.1,0.0
62,2024-05-10T12:00:00Z,17.0,1018.7,44.0,17.0,15.5,0.0
63,2024-05-10T18:00:00Z,15.5,1016.5,57.0,15.5,9.2,0.0
64,2024-05-11T00:00:00Z,9.4,1017.2,68.8,10.6,7.7,0.0
65,2024-05-11T06:00:00Z,10.6,1017.6,71.9,15.4,10.6,0.0
66,2024-05-11T12:00:00Z,15.4,1016.9,53.6,15.4,14.8,0.0
67,2024-05-11T18:00:00Z,15.1,1014.5,65.2,15.1,8.9,0.0
68,2024-05-12T00:00:00Z,9.1,1015.6,72.7,9.1,6.3,0.0
69,2024-05-12T06:00:00Z,8.3,1014.5,63.8,16.0,8.3,0.0
70,2024-05-12T12:00:00Z,16.0,1013.4,50.8,16.0,14.3,0.0
71,2024-05-12T18:00:00Z,14.3,1012.7,57.1,14.3,8.6,0.0
72,2024-05-13T00:00:00Z,8.6,1014.5,72.3,8.9,7.1,0.0
73,2024-05-13T06:00:00Z,8.9,1015.6,73.9,11.5,8.9,0.0
74,2024-05-13T12:00:00Z,11.5,1014.4,63.7,11.5,10.7,0.0
75,2024-05-13T18:00:00Z,11.1,1010.7,70.4,11.1,7.2,2.9
76,2024-05-14T00:00:00Z,7.6,1009.6,91.5,8.0,5.8,0.0
77,2024-05-14T06:00:00Z,8.0,1011.6,78.8,11.5,8.0,0.0
78,2024-05-14T12:00:00Z,11.5,1010.3,62.9,11.5,11.4,0.0
79,2024-05-14T18:00:00Z,11.5,1010.3,70.4,11.5,7.1,0.0
80,2024-05-15T00:00:00Z,7.1,1008.0,74.5,9.1,5.1,0.0
81,2024-05-15T06:00:00Z,9.1,1014.5,68.4,13.8,9.1,0.0
82,2024-05-15T12:00:00Z,13.8,1016.7,39.1,13.8,11.6,0.0
83,2024-05-15T18:00:00Z,11.7,1009.8,53.5,11.7,7.2,0.0
84,2024-05-16T00:00:00Z,7.2,1014.3,75.5,,,
