,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-04-29T21:00:00Z,7.7,1024.2,98.0,7.7,4.6,0.0
1,2024-04-29T22:00:00Z,7.7,1024.9,99.4,7.7,4.6,0.0
2,2024-04-29T23:00:00Z,7.7,1025.0,99.0,6.0,4.6,0.0
3,2024-04-30T00:00:00Z,6.0,1025.3,99.6,6.5,4.6,0.0
4,2024-04-30T01:00:00Z,4.9,1025.6,99.7,7.9,4.6,0.0
5,2024-04-30T02:00:00Z,4.6,1026.2,99.7,10.1,5.1,0.0
6,2024-04-30T03:00:00Z,5.1,1026.5,99.1,12.1,5.4,0.0
7,2024-04-30T04:00:00Z,5.4,1027.0,98.9,13.7,5.8,0.0
8,2024-04-30T05:00:00Z,5.8,1027.4,98.5,14.3,6.5,0.0
9,2024-04-30T06:00:00Z,6.5,1027.7,98.1,14.8,7.9,0.0
10,2024-04-30T07:00:00Z,7.9,1028.0,96.4,15.5,10.1,0.0
11,2024-04-30T08:00:00Z,10.1,1028.2,90.3,15.9,12.1,0.0
12,2024-04-30T09:00:00Z,12.1,1028.4,82.5,16.3,13.7,0.0
13,2024-04-30T10:00:00Z,13.7,1028.2,77.8,16.8,14.3,0.0
14,2024-04-30T11:00:00Z,14.3,1028.1,74.6,16.8,14.8,0.0
15,2024-04-30T12:00:00Z,14.8,1028.1,76.3,16.8,14.2,0.0
16,2024-04-30T13:00:00Z,15.5,1027.9,72.3,16.8,12.9,0.0
17,2024-04-30T14:00:00Z,15.9,1027.5,70.1,16.8,11.8,0.0
18,2024-04-30T15:00:00Z,16.3,1027.0,65.6,16.8,11.2,0.0
19,2024-04-30T16:00:00Z,16.8,1026.5,48.4,15.7,10.7,0.0
20,2024-04-30T17:00:00Z,15.7,1026.3,63.9,14.2,10.5,0.0
21,2024-04-30T18:00:00Z,14.2,1026.4,75.8,12.9,9.8,0.0
22,2024-04-30T19:00:00Z,12.9,1026.6,79.9,11.8,9.3,0.0
23,2024-04-30T20:00:00Z,11.8,1026.7,73.1,11.2,8.5,0.0
24,2024-04-30T21:00:00Z,11.2,1027.0,72.9,10.7,7.5,0.0
25,2024-04-30T22:00:00Z,10.7,1027.4,72.3,10.5,7.1,0.0
26,2024-04-30T23:00:00Z,10.5,1027.5,72.5,9.8,7.1,0.0
27,2024-05-01T00:00:00Z,9.8,1027.5,71.6,9.6,7.1,0.0
28,2024-05-01T01:00:00Z,9.3,1027.4,72.0,11.4,7.1,0.0
29,2024-05-01T02:00:00Z,8.5,1027.2,75.8,12.6,7.1,0.0
30,2024-05-01T03:00:00Z,7.5,1027.2,78.2,13.9,7.1,0.0
31,2024-05-01T04:00:00Z,7.1,1027.2,82.5,15.2,7.8,0.0
32,2024-05-01T05:00:00Z,7.8,1027.4,79.4,15.9,9.6,0.0
33,2024-05-01T06:00:00Z,9.6,1027.3,70.4,16.9,11.4,0.0
34,2024-05-01T07:00:00Z,11.4,1027.1,59.1,17.6,12.6,0.0
35,2024-05-01T08:00:00Z,12.6,1027.0,55.1,17.9,13.9,0.0
36,2024-05-01T09:00:00Z,13.9,1026.7,53.0,18.0,15.2,0.0
37,2024-05-01T10:00:00Z,15.2,1026.2,51.2,18.0,15.9,0.0
38,2024-05-01T11:00:00Z,15.9,1025.7,49.8,18.0,16.9,0.0
39,2024-05-01T12:00:00Z,16.9,1025.2,49.0,18.0,15.7,0.0
