,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-04-30T17:00:00Z,16.4,1026.3,77.1,15.5,10.9,0.0
1,2024-04-30T18:00:00Z,15.5,1026.2,85.3,14.3,10.2,0.0
2,2024-04-30T19:00:00Z,14.3,1026.2,77.6,13.0,9.8,0.0
3,2024-04-30T20:00:00Z,13.0,1026.3,66.6,12.2,9.1,0.0
4,2024-04-30T21:00:00Z,12.2,1026.5,70.0,11.5,7.6,0.0
5,2024-04-30T22:00:00Z,11.5,1026.8,69.2,10.9,6.7,0.0
6,2024-04-30T23:00:00Z,10.9,1027.1,69.7,10.2,6.7,0.0
7,2024-05-01T00:00:00Z,10.2,1027.1,73.9,9.8,6.7,0.0
8,2024-05-01T01:00:00Z,9.8,1027.1,73.9,11.7,6.7,0.0
9,2024-05-01T02:00:00Z,9.1,1026.8,74.3,13.0,6.7,0.0
10,2024-05-01T03:00:00Z,7.6,1026.6,79.9,14.4,6.7,0.0
11,2024-05-01T04:00:00Z,6.7,1026.9,84.2,15.5,7.9,0.0
12,2024-05-01T05:00:00Z,7.9,1026.9,78.0,16.3,9.8,0.0
13,2024-05-01T06:00:00Z,9.8,1027.0,70.7,17.2,11.7,0.0
14,2024-05-01T07:00:00Z,11.7,1027.0,60.6,17.7,13.0,0.0
15,2024-05-01T08:00:00Z,13.0,1026.8,59.2,18.5,14.4,0.0
16,2024-05-01T09:00:00Z,14.4,1026.5,55.3,18.5,15.5,0.0
17,2024-05-01T10:00:00Z,15.5,1026.3,50.9,18.5,16.3,0.0
18,2024-05-01T11:00:00Z,16.3,1026.1,50.6,18.5,17.2,0.0
19,2024-05-01T12:00:00Z,17.2,1025.6,49.1,18.5,15.9,0.0
20,2024-05-01T13:00:00Z,17.7,1024.9,47.8,18.5,13.6,0.0
21,2024-05-01T14:00:00Z,18.5,1024.2,47.3,18.4,11.7,0.0
22,2024-05-01T15:00:00Z,18.4,1023.8,47.7,18.1,10.9,0.0
23,2024-05-01T16:00:00Z,18.1,1023.6,49.7,17.3,10.5,0.0
24,2024-05-01T17:00:00Z,17.3,1023.6,53.0,15.9,10.5,0.0
25,2024-05-01T18:00:00Z,15.9,1023.9,63.2,13.6,10.5,0.0
26,2024-05-01T19:00:00Z,13.6,1024.0,68.3,11.7,10.2,0.0
27,2024-05-01T20:00:00Z,11.7,1024.1,69.3,10.9,9.4,0.0
28,2024-05-01T21:00:00Z,10.9,1024.4,67.7,10.8,8.6,0.0
29,2024-05-01T22:00:00Z,10.5,1024.8,68.9,10.8,7.9,0.0
30,2024-05-01T23:00:00Z,10.8,1025.0,67.0,10.7,7.9,0.0
31,2024-05-02T00:00:00Z,10.7,1025.1,65.3,10.5,7.9,0.0
32,2024-05-02T01:00:00Z,10.2,1025.0,65.0,12.4,7.9,0.0
