ID,date,Station,mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm
1,1/1/2000,As,-5,-7.6,-3,100,,0.50,0.1,0.4,
2,1/2/2000,As,0.6,-5,4,88.6,,0.73,0,0.4,
3,1/3/2000,As,2.1,-1.1,4.6,88.6,8.8,0.31,0,0.5,
4,1/4/2000,As,1.8,-3.3,4.4,67.3,2.1,1.22,0.1,0.5,
5,1/5/2000,As,0.6,-3.6,4.4,98.2,1.2,0.82,0.1,0.5,
6,1/6/2000,As,5.1,1.7,6.4,92.2,1.5,0.08,0.1,0.5,
7,1/7/2000,As,3.5,0,5.7,80.1,4.2,0.38,0.2,0.5,
8,1/8/2000,As,5,3.3,6.4,84.7,,1.20,0.2,0.5,
9,1/9/2000,As,1.8,-2.8,3.7,88.9,,1.34,0.2,0.5,
10,1/10/2000,As,-0.3,-4.6,4.2,92.2,0.5,1.58,0.2,0.5,
11,1/11/2000,As,3.7,2.2,4.9,95.2,0,1.10,0.3,0.6,
12,1/12/2000,As,3.3,2.1,4.8,99.9,1.1,0.62,0.3,0.6,
13,1/13/2000,As,1.3,-0.1,3.8,96.3,0.1,0.47,0.4,0.7,
14,1/14/2000,As,-1.6,-6.8,0.5,76,0,0.85,0.3,0.5,
15,1/15/2000,As,-4.8,-7.9,-1.2,97.2,,1.39,0.3,0.5,
16,1/16/2000,As,-1.3,-5.7,2.7,95.8,,0.61,0.2,0.5,
17,1/17/2000,As,6.4,-0.5,9.9,50.2,1.3,1.75,0.2,0.5,
18,1/18/2000,As,2.8,0.3,4.7,43.3,0,1.82,0.3,0.5,
19,1/19/2000,As,-2.2,-4.7,2.8,70.1,0,1.38,0.2,0.4,
20,1/20/2000,As,0.3,-3.7,5,75.4,0,0.93,0.1,0.4,
21,1/21/2000,As,-4,-7.5,-1.9,62.8,0.2,2.10,0,0.3,
22,1/22/2000,As,-5.5,-11,-4.3,99.4,,0.78,-0.2,0.2,
23,1/23/2000,As,-12.8,-16.8,-8.2,97.3,,1.45,-0.2,0.1,
24,1/24/2000,As,-11,-16.1,-6,99.4,9,1.94,-0.3,0.1,
25,1/25/2000,As,-8.3,-11.6,-5,99.7,0,2.38,-0.3,0.1,
26,1/26/2000,As,-7,-11,-3.1,100,0,1.40,-0.3,0,
27,1/27/2000,As,-1.1,-6.3,3.5,86,0.2,1.29,-0.4,0,
28,1/28/2000,As,-1.9,-6.8,0.7,77.8,0,1.61,-0.3,0,
29,1/29/2000,As,2.9,0.6,5,92.7,9.9,0.69,-0.2,0.1,
30,1/30/2000,As,0.1,-4.5,3.9,48.4,0,2.87,-0.1,0.1,
31,1/31/2000,As,-2.9,-5.3,-0.3,59,0,3.03,-0.4,0.1,
32,2/1/2000,As,-5.2,-8.6,-2.3,86.3,0,1.78,-0.9,0,
33,2/2/2000,As,-3.2,-6.1,0.8,97.8,2.9,2.11,-0.7,-0.1,
34,2/3/2000,As,-4.4,-10.6,1.8,78.2,0,3.29,-0.8,-0.1,
35,2/4/2000,As,2.9,-1.4,5.6,91.9,0,1.93,-0.6,-0.2,
36,2/5/2000,As,2.3,-1.8,6.6,97.9,,1.95,-0.3,-0.1,
37,2/6/2000,As,5,3.2,7.9,86.3,,3.29,-0.1,-0.1,
38,2/7/2000,As,4.7,2.4,6.4,82.2,3,1.76,-0.1,-0.1,
39,2/8/2000,As,0.7,-2.2,4.4,89.2,0,3.54,0,-0.1,
40,2/9/2000,As,-0.2,-3.5,4.1,75.7,0,3.13,0.1,0,
41,2/10/2000,As,3.4,-2.2,5,90.4,0,0.44,0,0,
42,2/11/2000,As,3.9,1.1,7.6,67.9,1.2,4.29,0,0,
43,2/12/2000,As,3.7,0.8,5.1,97.9,,0.47,0,0,
44,2/13/2000,As,1.5,-0.3,4.4,71.8,,3.25,0.1,0,
45,2/14/2000,As,0.1,-1.7,3.6,51.7,10.2,5.01,0,0.1,
46,2/15/2000,As,-0.1,-3.8,3.6,94.3,2.6,4.00,0.1,0.1,
47,2/16/2000,As,-4.7,-10.3,-1.3,96.5,0,5.73,0.1,0.1,
48,2/17/2000,As,-4.8,-10.4,0.7,89.2,0,5.79,0,0.1,
49,2/18/2000,As,-3.6,-4.9,-2.5,95.1,0.1,1.94,0,0.1,
50,2/19/2000,As,-6.6,-12.1,-2.1,93.6,,3.21,-0.1,0.1,
51,2/20/2000,As,-7,-13.3,2.1,77.6,,6.65,-0.2,0.1,
52,2/21/2000,As,-5.5,-12,0.1,81.3,0.1,6.15,-0.4,0,
53,2/22/2000,As,-0.7,-2.1,1,94.6,0.1,2.62,-0.4,0,
54,2/23/2000,As,-2.1,-4.1,1,90.2,0,1.98,-0.3,0,
55,2/24/2000,As,-0.6,-4.3,1.5,98.4,4.9,2.98,-0.2,0,
56,2/25/2000,As,-2.2,-7.7,2.7,92.1,7.5,5.68,-0.2,0,
57,2/26/2000,As,-0.8,-8.5,3.4,94.5,,2.33,-0.2,0,
58,2/27/2000,As,2.9,-1.7,4.9,98.8,,0.97,-0.2,0,
59,2/28/2000,As,4,1.3,5.2,93.1,1.3,3.32,-0.1,0,
60,2/29/2000,As,2.6,1.3,4.4,93.1,10.4,3.42,-0.1,0,
61,3/1/2000,As,2.7,0.6,6.5,79.3,0.7,6.97,0,0,
62,3/2/2000,As,0.7,-1.8,3.6,56.5,0,7.78,0,0,
63,3/3/2000,As,-0.4,-3,2.1,81.1,19.6,7.13,0,0.1,
64,3/4/2000,As,-1.4,-5.3,1.4,42.1,,8.23,0,0.1,
65,3/5/2000,As,-1.7,-8.5,2.4,46.9,,8.49,0,0.1,
66,3/6/2000,As,5.2,0.6,9.8,77.6,0.1,6.02,0,0.1,
67,3/7/2000,As,4.2,-2,7.4,48.3,0,6.21,0.1,0.1,
68,3/8/2000,As,-1.2,-3.3,-0.1,92.7,0,2.94,0.1,0.1,
69,3/9/2000,As,-1.2,-6.5,2.2,64.5,6.4,8.75,0,0.1,
70,3/10/2000,As,-1.8,-8.8,2.5,55,0,8.10,0.1,0.1,
71,3/11/2000,As,-1.5,-8.2,3,82.5,0,9.57,0,0.1,
72,3/12/2000,As,-2.3,-9.4,3.3,88.7,0,9.94,0,0.1,
73,3/13/2000,As,2.2,-1.2,5.4,95.9,3.1,4.42,0,0.1,
74,3/14/2000,As,2.5,-0.9,6,54.4,0,8.52,0,0.1,
75,3/15/2000,As,0.3,-5.2,4.1,49.8,0,11.14,0,0.1,
76,3/16/2000,As,-0.3,-4.1,4.4,75.1,0,6.99,0.2,0.1,
