mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
-18.1,-22.1,-12.7,67.4,0.0,9.5,0.2,0.5,0.0,3.0,1.0,1,Apelsvoll
-13.5,-20.6,-9.6,65.8,0.0,4.9,0.2,0.5,0.0,3.0,2.0,2,Apelsvoll
-8.8,-11.0,-4.2,72.8,0.0,4.3,0.2,0.5,0.0,3.0,3.0,3,Apelsvoll
-8.0,-10.4,-2.6,79.2,0.4,6.1,0.1,0.5,0.0,3.0,4.0,4,Apelsvoll
-7.6,-9.3,-5.1,88.8,2.0,2.7,0.1,0.5,0.0,3.0,5.0,5,Apelsvoll
-7.5,-9.2,-5.9,91.0,1.0,0.3,0.1,0.4,0.0,3.0,6.0,6,Apelsvoll
-4.0,-6.0,-2.2,93.9,0.7,1.2,0.1,0.4,0.0,3.0,7.0,7,Apelsvoll
-3.4,-4.8,-1.6,87.0,2.5,1.8,0.1,0.4,0.0,3.0,8.0,8,Apelsvoll
-5.2,-9.3,-0.1,82.7,0.9,3.1,0.1,0.4,0.0,3.0,9.0,9,Apelsvoll
-8.0,-12.8,0.6,84.9,0.0,4.0,0.1,0.5,0.0,3.0,10.0,10,Apelsvoll
-6.9,-9.2,-4.3,89.2,1.4,2.4,0.1,0.5,0.0,3.0,11.0,11,Apelsvoll
-3.1,-5.6,-1.4,90.2,7.2,1.4,0.2,0.5,0.0,3.0,12.0,12,Apelsvoll
-2.2,-6.4,0.7,72.5,0.0,2.1,0.1,0.4,0.0,3.0,13.0,13,Apelsvoll
-5.4,-12.8,2.5,66.9,0.0,8.2,0.1,0.5,0.0,3.0,14.0,14,Apelsvoll
-6.2,-10.4,1.6,77.4,0.6,8.4,0.1,0.5,0.0,3.0,15.0,15,Apelsvoll
-10.9,-18.4,-3.4,67.6,0.0,14.0,0.1,0.5,0.0,3.0,16.0,16,Apelsvoll
-12.1,-19.9,-3.8,61.0,0.0,12.7,0.2,0.4,0.0,3.0,17.0,17,Apelsvoll
-9.0,-19.2,-2.3,55.9,0.0,12.8,0.1,0.4,0.0,3.0,18.0,18,Apelsvoll
0.1,-4.2,6.7,59.1,0.0,9.3,0.1,0.4,1.1,3.0,19.0,19,Apelsvoll
-0.4,-4.6,6.7,56.0,0.0,9.6,0.1,0.4,0.0,3.0,20.0,20,Apelsvoll
0.9,-2.1,5.6,67.5,0.0,7.2,0.1,0.4,0.8,3.0,21.0,21,Apelsvoll
0.9,-5.3,8.9,71.4,0.0,14.4,0.1,0.4,1.3,3.0,22.0,22,Apelsvoll
0.3,-2.5,4.7,76.1,0.0,9.8,0.1,0.4,0.9,3.0,23.0,23,Apelsvoll
3.5,0.2,7.5,67.5,0.0,12.3,0.1,0.4,1.4,3.0,24.0,24,Apelsvoll
3.9,-0.4,9.8,55.6,0.2,13.4,0.1,0.4,1.6,3.0,25.0,25,Apelsvoll
-2.5,-10.9,2.3,60.9,0.6,10.7,0.1,0.4,0.0,3.0,26.0,26,Apelsvoll
-7.7,-14.7,2.5,47.6,0.0,15.2,0.1,0.4,0.0,3.0,27.0,27,Apelsvoll
-7.9,-15.9,1.6,45.3,0.0,15.2,0.1,0.4,0.0,3.0,28.0,28,Apelsvoll
-7.3,-14.5,2.7,51.6,0.0,15.3,0.1,0.4,0.0,3.0,29.0,29,Apelsvoll
-6.0,-13.6,4.0,49.0,0.0,15.9,0.1,0.4,0.0,3.0,30.0,30,Apelsvoll
-5.6,-11.1,3.3,50.1,0.0,15.8,0.1,0.4,0.0,3.0,31.0,31,Apelsvoll
-4.1,-10.6,3.6,44.1,0.0,16.1,0.1,0.4,0.0,4.0,1.0,32,Apelsvoll
-4.2,-12.7,4.2,52.7,0.0,16.5,0.1,0.4,0.0,4.0,2.0,33,Apelsvoll
-5.3,-11.8,-0.0,70.0,1.1,9.4,0.1,0.4,0.0,4.0,3.0,34,Apelsvoll
0.4,-2.8,5.3,91.2,4.1,6.5,0.1,0.4,0.5,4.0,4.0,35,Apelsvoll
1.1,0.0,3.3,93.6,6.0,4.9,0.1,0.4,0.4,4.0,5.0,36,Apelsvoll
2.2,-0.7,6.4,52.5,0.3,17.7,0.1,0.4,2.0,4.0,6.0,37,Apelsvoll
0.7,-3.4,5.4,70.7,0.0,6.0,0.1,0.4,0.7,4.0,7.0,38,Apelsvoll
0.3,-1.8,2.3,91.5,9.7,4.3,0.1,0.4,0.4,4.0,8.0,39,Apelsvoll
0.9,0.2,2.2,94.6,13.2,3.8,0.1,0.4,0.3,4.0,9.0,40,Apelsvoll
2.1,-2.6,7.2,64.6,0.0,18.3,0.1,0.4,1.8,4.0,10.0,41,Apelsvoll
0.6,-5.4,8.1,61.2,0.0,17.6,0.1,0.4,1.7,4.0,11.0,42,Apelsvoll
1.8,-5.8,10.8,56.6,0.0,19.1,0.1,0.3,2.0,4.0,12.0,43,Apelsvoll
2.5,-5.9,11.3,49.7,0.0,18.5,0.1,0.3,2.0,4.0,13.0,44,Apelsvoll
5.4,-0.6,14.1,47.8,0.0,17.7,0.1,0.3,2.4,4.0,14.0,45,Apelsvoll
7.3,0.8,15.5,57.0,0.0,16.9,0.1,0.3,2.1,4.0,15.0,46,Apelsvoll
5.1,1.8,9.4,71.1,0.0,10.1,0.0,0.3,1.2,4.0,16.0,47,Apelsvoll
5.6,2.9,11.5,84.7,0.0,14.4,0.0,0.3,1.6,4.0,17.0,48,Apelsvoll
7.8,2.5,13.7,76.2,1.4,20.0,0.0,0.3,2.4,4.0,18.0,49,Apelsvoll
8.2,3.9,15.3,69.2,0.0,16.0,0.0,0.2,2.0,4.0,19.0,50,Apelsvoll
6.2,2.3,11.8,83.1,0.0,12.1,0.0,0.2,1.4,4.0,20.0,51,Apelsvoll
9.0,3.6,14.2,49.2,0.0,20.9,0.1,0.3,3.1,4.0,21.0,52,Apelsvoll
6.4,-0.1,13.5,58.7,0.0,19.0,2.2,1.2,2.4,4.0,22.0,53,Apelsvoll
4.8,2.9,7.4,85.2,2.8,4.9,3.8,3.0,0.6,4.0,23.0,54,Apelsvoll
6.7,3.3,10.2,66.9,0.0,16.1,4.0,3.2,2.2,4.0,24.0,55,Apelsvoll
6.5,2.1,11.5,58.9,0.1,12.8,4.6,3.8,1.8,4.0,25.0,56,Apelsvoll
6.4,0.5,12.9,61.6,0.0,17.8,5.5,4.5,2.2,4.0,26.0,57,Apelsvoll
5.2,2.4,10.3,78.0,0.0,13.9,6.1,5.2,1.6,4.0,27.0,58,Apelsvoll
3.4,0.4,8.0,86.7,0.0,9.8,5.7,5.2,1.0,4.0,28.0,59,Apelsvoll
5.2,-0.9,10.8,74.0,0.1,17.5,5.9,5.2,2.1,4.0,29.0,60,Apelsvoll
