mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
-4.4208,-4.3424,-3.893,-0.1765,-0.3524,-0.5177,-1.6458,-1.5996,-1.4309,-1.5071,-1.6752,1,Apelsvoll
-3.7098,-4.1083,-3.4643,-0.2732,-0.3524,-1.1199,-1.6458,-1.5996,-1.4309,-1.5071,-1.5619,2,Apelsvoll
-2.9833,-2.61,-2.7176,0.1498,-0.3524,-1.1985,-1.6458,-1.5996,-1.4309,-1.5071,-1.4485,3,Apelsvoll
-2.8596,-2.5164,-2.4963,0.5365,-0.3152,-0.9628,-1.6619,-1.5996,-1.4309,-1.5071,-1.3352,4,Apelsvoll
-2.7978,-2.3447,-2.842,1.1166,-0.1663,-1.408,-1.6619,-1.5996,-1.4309,-1.5071,-1.2219,5,Apelsvoll
-2.7823,-2.3291,-2.9527,1.2495,-0.2594,-1.7222,-1.6619,-1.6161,-1.4309,-1.5071,-1.1086,6,Apelsvoll
-2.2413,-1.8297,-2.441,1.4248,-0.2873,-1.6043,-1.6619,-1.6161,-1.4309,-1.5071,-0.9952,7,Apelsvoll
-2.1486,-1.6424,-2.3581,1.0078,-0.1197,-1.5258,-1.6619,-1.6161,-1.4309,-1.5071,-0.8819,8,Apelsvoll
-2.4268,-2.3447,-2.1506,0.748,-0.2687,-1.3556,-1.6619,-1.6161,-1.4309,-1.5071,-0.7686,9,Apelsvoll
-2.8596,-2.8909,-2.0538,0.8809,-0.3524,-1.2378,-1.6619,-1.5996,-1.4309,-1.5071,-0.6553,10,Apelsvoll
-2.6896,-2.3291,-2.7314,1.1408,-0.2221,-1.4472,-1.6619,-1.5996,-1.4309,-1.5071,-0.5419,11,Apelsvoll
-2.1022,-1.7672,-2.3304,1.2012,0.3177,-1.5782,-1.6458,-1.5996,-1.4309,-1.5071,-0.4286,12,Apelsvoll
-1.9631,-1.8921,-2.04,0.1317,-0.3524,-1.4865,-1.6619,-1.6161,-1.4309,-1.5071,-0.3153,13,Apelsvoll
-2.4577,-2.8909,-1.7911,-0.2067,-0.3524,-0.6879,-1.6619,-1.5996,-1.4309,-1.5071,-0.2019,14,Apelsvoll
-2.5814,-2.5164,-1.9155,0.4277,-0.2966,-0.6617,-1.6619,-1.5996,-1.4309,-1.5071,-0.0886,15,Apelsvoll
-3.3079,-3.7649,-2.607,-0.1644,-0.3524,0.0715,-1.6619,-1.5996,-1.4309,-1.5071,0.0247,16,Apelsvoll
-3.4934,-3.999,-2.6623,-0.5632,-0.3524,-0.0987,-1.6458,-1.6161,-1.4309,-1.5071,0.138,17,Apelsvoll
-3.0142,-3.8898,-2.4549,-0.8714,-0.3524,-0.0857,-1.6619,-1.6161,-1.4309,-1.5071,0.2514,18,Apelsvoll
-1.6076,-1.5488,-1.2103,-0.678,-0.3524,-0.5439,-1.6619,-1.6161,-0.7269,-1.5071,0.3647,19,Apelsvoll
-1.6849,-1.6112,-1.2103,-0.8654,-0.3524,-0.5046,-1.6619,-1.6161,-1.4309,-1.5071,0.478,20,Apelsvoll
-1.4839,-1.221,-1.3624,-0.1705,-0.3524,-0.8188,-1.6619,-1.6161,-0.9189,-1.5071,0.5914,21,Apelsvoll
-1.4839,-1.7204,-0.9061,0.0652,-0.3524,0.1238,-1.6619,-1.6161,-0.5988,-1.5071,0.7047,22,Apelsvoll
-1.5767,-1.2834,-1.4869,0.3492,-0.3524,-0.4784,-1.6619,-1.6161,-0.8549,-1.5071,0.818,23,Apelsvoll
