ID,date,Station,mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm
1,3/1/2018,Apelsvoll,-18.1,-22.1,-12.7,67.4,0,9.5,0.2,0.5,0
2,3/2/2018,Apelsvoll,-13.5,-20.6,-9.6,65.8,0,4.9,0.2,0.5,0
3,3/3/2018,Apelsvoll,-8.8,-11,-4.2,72.8,0,4.3,0.2,0.5,0
4,3/4/2018,Apelsvoll,-8,-10.4,-2.6,79.2,0.4,6.1,0.1,0.5,0
5,3/5/2018,Apelsvoll,-7.6,-9.3,-5.1,88.8,2,2.7,0.1,0.5,0
6,3/6/2018,Apelsvoll,-7.5,-9.2,-5.9,91,1,0.3,0.1,0.4,0
7,3/7/2018,Apelsvoll,-4,-6,-2.2,93.9,0.7,1.2,0.1,0.4,0
8,3/8/2018,Apelsvoll,-3.4,-4.8,-1.6,87,2.5,1.8,0.1,0.4,0
9,3/9/2018,Apelsvoll,-5.2,-9.3,-0.1,82.7,0.9,3.1,0.1,0.4,0
10,3/10/2018,Apelsvoll,-8,-12.8,0.6,84.9,0,4,0.1,0.5,0
11,3/11/2018,Apelsvoll,-6.9,-9.2,-4.3,89.2,1.4,2.4,0.1,0.5,0
12,3/12/2018,Apelsvoll,-3.1,-5.6,-1.4,90.2,7.2,1.4,0.2,0.5,0
13,3/13/2018,Apelsvoll,-2.2,-6.4,0.7,72.5,0,2.1,0.1,0.4,0
14,3/14/2018,Apelsvoll,-5.4,-12.8,2.5,66.9,0,8.2,0.1,0.5,0
15,3/15/2018,Apelsvoll,-6.2,-10.4,1.6,77.4,0.6,8.4,0.1,0.5,0
16,3/16/2018,Apelsvoll,-10.9,-18.4,-3.4,67.6,0,14,0.1,0.5,0
17,3/17/2018,Apelsvoll,-12.1,-19.9,-3.8,61,0,12.7,0.2,0.4,0
18,3/18/2018,Apelsvoll,-9,-19.2,-2.3,55.9,0,12.8,0.1,0.4,0
19,3/19/2018,Apelsvoll,0.1,-4.2,6.7,59.1,0,9.3,0.1,0.4,1.1
20,3/20/2018,Apelsvoll,-0.4,-4.6,6.7,56,0,9.6,0.1,0.4,0
21,3/21/2018,Apelsvoll,0.9,-2.1,5.6,67.5,0,7.2,0.1,0.4,0.8
22,3/22/2018,Apelsvoll,0.9,-5.3,8.9,71.4,0,14.4,0.1,0.4,1.3
23,3/23/2018,Apelsvoll,0.3,-2.5,4.7,76.1,0,9.8,0.1,0.4,0.9
24,3/24/2018,Apelsvoll,3.5,0.2,7.5,67.5,0,12.3,0.1,0.4,1.4
25,3/25/2018,Apelsvoll,3.9,-0.4,9.8,55.6,0.2,13.4,0.1,0.4,1.6
26,3/26/2018,Apelsvoll,-2.5,-10.9,2.3,60.9,0.6,10.7,0.1,0.4,0
27,3/27/2018,Apelsvoll,-7.7,-14.7,2.5,47.6,0,15.2,0.1,0.4,0
28,3/28/2018,Apelsvoll,-7.9,-15.9,1.6,45.3,0,15.2,0.1,0.4,0
29,3/29/2018,Apelsvoll,-7.3,-14.5,2.7,51.6,0,15.3,0.1,0.4,0
30,3/30/2018,Apelsvoll,-6,-13.6,4,49,0,15.9,0.1,0.4,0
31,3/31/2018,Apelsvoll,-5.6,-11.1,3.3,50.1,0,15.8,0.1,0.4,0
32,4/1/2018,Apelsvoll,-4.1,-10.6,3.6,44.1,0,16.1,0.1,0.4,0
33,4/2/2018,Apelsvoll,-4.2,-12.7,4.2,52.7,0,16.5,0.1,0.4,0
34,4/3/2018,Apelsvoll,-5.3,-11.8,0,70,1.1,9.4,0.1,0.4,0
35,4/4/2018,Apelsvoll,0.4,-2.8,5.3,91.2,4.1,6.5,0.1,0.4,0.5
36,4/5/2018,Apelsvoll,1.1,0,3.3,93.6,6,4.9,0.1,0.4,0.4
37,4/6/2018,Apelsvoll,2.2,-0.7,6.4,52.5,0.3,17.7,0.1,0.4,2
38,4/7/2018,Apelsvoll,0.7,-3.4,5.4,70.7,0,6,0.1,0.4,0.7
39,4/8/2018,Apelsvoll,0.3,-1.8,2.3,91.5,9.7,4.3,0.1,0.4,0.4
40,4/9/2018,Apelsvoll,0.9,0.2,2.2,94.6,13.2,3.8,0.1,0.4,0.3
41,4/10/2018,Apelsvoll,2.1,-2.6,7.2,64.6,0,18.3,0.1,0.4,1.8
42,4/11/2018,Apelsvoll,0.6,-5.4,8.1,61.2,0,17.6,0.1,0.4,1.7
43,4/12/2018,Apelsvoll,1.8,-5.8,10.8,56.6,0,19.1,0.1,0.3,2
