,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-04-29T16:00:00Z,10.9,1019.8,73.4,10.5,6.0,0.0
1,2024-04-29T17:00:00Z,10.5,1020.3,69.3,9.6,5.1,0.0
2,2024-04-29T18:00:00Z,9.6,1021.0,76.7,7.8,3.9,0.0
3,2024-04-29T19:00:00Z,7.8,1022.2,92.7,6.6,3.5,0.0
4,2024-04-29T20:00:00Z,6.6,1023.2,97.1,6.0,3.5,0.0
5,2024-04-29T21:00:00Z,6.0,1024.0,97.9,6.0,3.5,0.0
6,2024-04-29T22:00:00Z,6.0,1024.8,99.0,5.1,3.5,0.0
7,2024-04-29T23:00:00Z,5.1,1025.1,99.3,5.2,3.5,0.0
8,2024-04-30T00:00:00Z,3.9,1025.3,99.6,6.2,3.5,0.0
9,2024-04-30T01:00:00Z,3.5,1025.6,99.6,6.9,3.8,0.0
10,2024-04-30T02:00:00Z,3.8,1026.1,99.6,8.4,4.0,0.0
11,2024-04-30T03:00:00Z,4.0,1026.4,99.1,10.9,4.3,0.0
12,2024-04-30T04:00:00Z,4.3,1026.8,99.7,12.2,5.2,0.0
13,2024-04-30T05:00:00Z,5.2,1027.3,99.7,13.3,6.2,0.0
14,2024-04-30T06:00:00Z,6.2,1027.7,99.1,14.2,6.9,0.0
15,2024-04-30T07:00:00Z,6.9,1028.3,98.0,14.2,8.4,0.0
16,2024-04-30T08:00:00Z,8.4,1028.5,96.1,14.2,10.9,0.0
17,2024-04-30T09:00:00Z,10.9,1028.5,90.8,14.3,12.2,0.0
18,2024-04-30T10:00:00Z,12.2,1028.4,83.2,14.3,13.3,0.0
19,2024-04-30T11:00:00Z,13.3,1028.2,80.3,14.3,13.9,0.0
20,2024-04-30T12:00:00Z,14.2,1028.2,80.9,14.3,13.0,0.0
21,2024-04-30T13:00:00Z,14.0,1028.2,84.2,14.3,11.8,0.0
22,2024-04-30T14:00:00Z,13.9,1028.0,89.9,14.3,11.1,0.0
23,2024-04-30T15:00:00Z,14.3,1027.4,89.0,14.2,10.4,0.0
24,2024-04-30T16:00:00Z,14.2,1027.0,81.7,14.1,10.2,0.0
25,2024-04-30T17:00:00Z,14.1,1026.6,82.0,13.0,9.6,0.0
26,2024-04-30T18:00:00Z,13.0,1026.6,91.8,11.8,8.9,0.0
27,2024-04-30T19:00:00Z,11.8,1026.8,95.8,11.1,8.0,0.0
28,2024-04-30T20:00:00Z,11.1,1027.0,77.2,10.4,6.9,0.0
29,2024-04-30T21:00:00Z,10.4,1027.3,76.2,10.2,6.5,0.0
30,2024-04-30T22:00:00Z,10.2,1027.7,71.4,9.6,6.2,0.0
31,2024-04-30T23:00:00Z,9.6,1027.9,76.2,8.9,6.2,0.0
32,2024-05-01T00:00:00Z,8.9,1027.7,75.6,8.4,6.2,0.0
33,2024-05-01T01:00:00Z,8.0,1027.5,74.5,10.2,6.2,0.0
34,2024-05-01T02:00:00Z,6.9,1027.6,77.6,11.4,6.2,0.0
35,2024-05-01T03:00:00Z,6.5,1027.1,79.4,12.9,6.2,0.0
36,2024-05-01T04:00:00Z,6.2,1027.2,82.8,13.9,7.4,0.0
37,2024-05-01T05:00:00Z,7.4,1027.2,77.1,14.5,8.4,0.0
38,2024-05-01T06:00:00Z,8.4,1027.2,73.7,15.3,10.2,0.0
39,2024-05-01T07:00:00Z,10.2,1027.3,64.4,16.0,11.4,0.0
40,2024-05-01T08:00:00Z,11.4,1027.0,57.9,16.3,12.9,0.0
41,2024-05-01T09:00:00Z,12.9,1026.7,55.8,16.3,13.9,0.0
42,2024-05-01T10:00:00Z,13.9,1026.5,52.9,16.3,14.5,0.0
43,2024-05-01T11:00:00Z,14.5,1026.1,54.4,16.3,15.2,0.0
44,2024-05-01T12:00:00Z,15.3,1025.5,54.2,16.3,13.9,0.0
45,2024-05-01T13:00:00Z,16.0,1025.0,56.1,16.3,12.2,0.0
46,2024-05-01T14:00:00Z,16.3,1024.6,58.4,16.3,10.9,0.0
47,2024-05-01T15:00:00Z,16.3,1024.3,60.0,16.0,10.0,0.0
48,2024-05-01T16:00:00Z,16.0,1023.9,59.6,15.2,9.4,0.0
49,2024-05-01T17:00:00Z,15.2,1023.7,61.6,13.9,9.0,0.0
50,2024-05-01T18:00:00Z,13.9,1023.6,72.9,12.2,8.8,0.0
51,2024-05-01T19:00:00Z,12.2,1023.9,77.3,,,
52,2024-05-01T20:00:00Z,10.9,1024.0,80.5,,,
53,2024-05-01T21:00:00Z,10.0,1024.0,81.4,,,
54,2024-05-01T22:00:00Z,9.4,1024.2,77.6,,,
55,2024-05-01T23:00:00Z,9.0,1024.4,82.8,,,
56,2024-05-02T00:00:00Z,8.8,1024.3,83.6,10.9,8.2,0.0
57,2024-05-02T06:00:00Z,10.9,1022.8,72.3,19.8,10.9,0.0
58,2024-05-02T12:00:00Z,19.8,1020.1,47.2,19.8,17.4,0.0
59,2024-05-02T18:00:00Z,17.4,1018.1,67.3,17.4,9.2,0.0
60,2024-05-03T00:00:00Z,9.2,1019.0,80.2,11.5,7.2,0.0
61,2024-05-03T06:00:00Z,11.5,1019.2,77.8,19.7,11.5,0.0
62,2024-05-03T12:00:00Z,19.7,1018.0,46.5,19.7,17.2,0.0
63,2024-05-03T18:00:00Z,17.2,1015.7,71.5,17.2,9.7,0.0
64,2024-05-04T00:00:00Z,10.3,1016.4,74.8,11.9,8.3,0.0
65,2024-05-04T06:00:00Z,11.9,1016.9,75.1,19.5,11.9,0.0
66,2024-05-04T12:00:00Z,19.5,1016.4,47.2,19.5,16.2,0.0
67,2024-05-04T18:00:00Z,16.2,1015.2,60.8,16.2,9.0,0.0
68,2024-05-05T00:00:00Z,9.0,1018.7,74.5,11.0,7.0,0.0
69,2024-05-05T06:00:00Z,11.0,1020.7,74.4,16.9,11.0,0.0
70,2024-05-05T12:00:00Z,16.9,1019.7,50.2,16.9,13.6,0.0
71,2024-05-05T18:00:00Z,13.6,1018.7,66.9,13.6,7.8,0.0
