,time,instant_air_temperature,instant_air_pressure_at_sea_level,instant_relative_humidity,next_6_hours_air_temperature_max,next_6_hours_air_temperature_min,next_6_hours_precipitation_amount
0,2024-05-04T19:00:00Z,17.9,1010.9,62.9,15.7,11.3,0.0
1,2024-05-04T20:00:00Z,15.7,1010.8,70.4,15.0,10.7,0.0
2,2024-05-04T21:00:00Z,15.0,1011.1,72.7,13.7,10.0,0.0
3,2024-05-04T22:00:00Z,13.7,1011.3,71.2,12.5,9.7,0.0
4,2024-05-04T23:00:00Z,12.5,1011.1,71.3,12.1,9.7,0.0
5,2024-05-05T00:00:00Z,12.1,1010.6,74.8,11.3,9.7,2.1
6,2024-05-05T01:00:00Z,11.3,1010.2,78.3,10.7,9.7,2.5
7,2024-05-05T02:00:00Z,10.7,1009.9,83.3,10.8,9.7,2.7
8,2024-05-05T03:00:00Z,10.0,1009.8,88.9,11.1,9.7,2.8
9,2024-05-05T04:00:00Z,9.7,1009.6,95.0,11.5,9.8,2.2
10,2024-05-05T05:00:00Z,9.8,1009.5,97.2,12.0,10.1,1.5
11,2024-05-05T06:00:00Z,10.1,1009.6,97.3,12.4,10.4,1.1
12,2024-05-05T07:00:00Z,10.4,1009.6,96.9,12.5,10.8,0.8
13,2024-05-05T08:00:00Z,10.8,1009.5,96.7,12.5,11.1,0.6
14,2024-05-05T09:00:00Z,11.1,1009.5,95.9,12.5,11.5,0.0
15,2024-05-05T10:00:00Z,11.5,1009.3,94.8,12.5,12.0,0.0
16,2024-05-05T11:00:00Z,12.0,1009.1,93.0,12.5,11.4,0.0
17,2024-05-05T12:00:00Z,12.4,1009.2,91.0,12.5,10.9,0.0
18,2024-05-05T13:00:00Z,12.5,1009.2,89.1,12.5,10.7,0.0
19,2024-05-05T14:00:00Z,12.3,1008.9,86.7,12.5,10.4,0.0
20,2024-05-05T15:00:00Z,12.5,1008.7,86.7,12.1,10.1,0.0
21,2024-05-05T16:00:00Z,12.1,1008.6,93.0,11.4,9.6,0.0
22,2024-05-05T17:00:00Z,11.4,1008.4,96.1,10.9,9.0,0.0
23,2024-05-05T18:00:00Z,10.9,1008.4,93.8,10.7,8.3,0.0
24,2024-05-05T19:00:00Z,10.7,1008.5,92.1,10.4,7.9,0.0
