ID,date,mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,air_pressure_2m_mbar,precipitation_mm,evaporation_mm,earth_heat_flux_MJ_m2,radiation_balance_w_m2,phosynthetic_active_radiation_mE_m2,albedo_RR_GR,snow_depth_cm,ST2,ST5,ST10,ST20,ST50,ST100
1,1/1/2000,-5,-7.6,-3,100,1001.5,,,-0.3,-0.12,1.17,0.74,,-0.2,-0.1,0.1,0.4,1.9,3.4
2,1/2/2000,0.6,-5,4,88.6,997.7,,,-0.2,-2.21,1.62,0.77,,-0.1,-0.1,0,0.4,1.9,3.4
3,1/3/2000,2.1,-1.1,4.6,88.6,991.5,8.8,,-0.1,-1.8,0.71,0.39,,-0.1,-0.1,0,0.5,1.9,3.4
4,1/4/2000,1.8,-3.3,4.4,67.3,987,2.1,,-0.1,-4.83,2.49,0.48,,0,0,0.1,0.5,1.9,3.4
5,1/5/2000,0.6,-3.6,4.4,98.2,993.3,1.2,,-0.2,-0.44,1.68,0.17,,0,0,0.1,0.5,1.9,3.4
6,1/6/2000,5.1,1.7,6.4,92.2,986.3,1.5,,-0.1,-1.16,0.19,0.8,,0,0,0.1,0.5,1.9,3.3
7,1/7/2000,3.5,0,5.7,80.1,990.7,4.2,,-0.1,-1.39,0.58,0.03,,0,0,0.2,0.5,1.9,3.3
8,1/8/2000,5,3.3,6.4,84.7,984.1,,,-0.1,-2.96,2.64,0.22,,0,0,0.2,0.5,1.9,3.2
9,1/9/2000,1.8,-2.8,3.7,88.9,997.9,,,-0.2,-4.28,2.77,0.25,,0,0,0.2,0.5,1.8,3.2
10,1/10/2000,-0.3,-4.6,4.2,92.2,1009.6,0.5,,-0.2,0.05,2.48,0.09,,0,0.1,0.2,0.5,1.8,3.1
11,1/11/2000,3.7,2.2,4.9,95.2,1007.1,0,,-0.2,-2.37,2.31,0.24,,0,0.1,0.3,0.6,1.9,3.2
12,1/12/2000,3.3,2.1,4.8,99.9,999.7,1.1,,-0.2,0.24,1.3,0.18,,0,0.2,0.3,0.6,1.8,3.2
13,1/13/2000,1.3,-0.1,3.8,96.3,1002.6,0.1,,-0.2,-0.23,1,0.24,,0,0.2,0.4,0.7,1.8,3.1
14,1/14/2000,-1.6,-6.8,0.5,76,1014.5,0,,-0.2,-3.36,1.87,0.2,,0,0.2,0.3,0.5,1.9,3.1
15,1/15/2000,-4.8,-7.9,-1.2,97.2,1016,,,-0.2,-0.85,2.54,0.12,,-0.2,0.1,0.3,0.5,1.8,3.1
16,1/16/2000,-1.3,-5.7,2.7,95.8,1004.9,,,-0.2,-0.58,1.44,0.29,,-0.3,0.1,0.2,0.5,1.9,3.1
17,1/17/2000,6.4,-0.5,9.9,50.2,994.2,1.3,,-0.2,-3.65,3.74,0.06,,-0.1,0,0.2,0.5,1.9,3.1
18,1/18/2000,2.8,0.3,4.7,43.3,1001.4,0,,-0.2,-5.33,3.69,0.22,,-0.2,-0.1,0.3,0.5,1.9,3.1
19,1/19/2000,-2.2,-4.7,2.8,70.1,1009,0,,-0.7,-2.74,2.73,0.24,,-0.7,-0.1,0.2,0.4,1.9,3
20,1/20/2000,0.3,-3.7,5,75.4,997.3,0,,-0.7,-1.93,2.1,0.2,,-0.8,-0.4,0.1,0.4,1.8,3
21,1/21/2000,-4,-7.5,-1.9,62.8,1005.4,0.2,,-1,-3.76,4.13,0.25,,-1.4,-0.7,0,0.3,1.8,3
22,1/22/2000,-5.5,-11,-4.3,99.4,1000.1,,,-0.4,0.07,1.81,0.91,,-0.8,-0.6,-0.2,0.2,1.7,3
