ID,date,mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,air_pressure_2m_mbar,precipitation_mm,evaporation_mm,earth_heat_flux_MJ_m2,JT2,JT5,JT10,JT20,JT50,radiation_balance_w_m2,phosynthetic_active_radiation_mE_m2,albedo_RR_GR,snow_depth_cm,JT100,year,month,day
1,2000-01-01,-5.0,-7.6,-3.0,100.0,1001.5,1.7434782608695654,0.0,-0.3,-0.2,-0.1,0.1,0.4,1.9,-0.12,1.17,0.74,9.172137404580152,3.4,2000,1,1
2,2000-01-02,0.6,-5.0,4.0,88.6,997.7,1.7434782608695654,0.0,-0.2,-0.1,-0.1,0.0,0.4,1.9,-2.21,1.62,0.77,9.172137404580152,3.4,2000,1,2
3,2000-01-03,2.1,-1.1,4.6,88.6,991.5,8.8,0.0,-0.1,-0.1,-0.1,0.0,0.5,1.9,-1.8,0.71,0.39,9.172137404580152,3.4,2000,1,3
4,2000-01-04,1.8,-3.3,4.4,67.3,987.0,2.1,0.0,-0.1,0.0,0.0,0.1,0.5,1.9,-4.83,2.49,0.48,9.172137404580152,3.4,2000,1,4
5,2000-01-05,0.6,-3.6,4.4,98.2,993.3,1.2,0.0,-0.2,0.0,0.0,0.1,0.5,1.9,-0.44,1.68,0.17,9.172137404580152,3.4,2000,1,5
6,2000-01-06,5.1,1.7,6.4,92.2,986.3,1.5,0.0,-0.1,0.0,0.0,0.1,0.5,1.9,-1.16,0.19,0.8,9.172137404580152,3.3,2000,1,6
7,2000-01-07,3.5,0.0,5.7,80.1,990.7,4.2,0.0,-0.1,0.0,0.0,0.2,0.5,1.9,-1.39,0.58,0.03,9.172137404580152,3.3,2000,1,7
8,2000-01-08,5.0,3.3,6.4,84.7,984.1,1.7434782608695654,0.0,-0.1,0.0,0.0,0.2,0.5,1.9,-2.96,2.64,0.22,9.172137404580152,3.2,2000,1,8
9,2000-01-09,1.8,-2.8,3.7,88.9,997.9,1.7434782608695654,0.0,-0.2,0.0,0.0,0.2,0.5,1.8,-4.28,2.77,0.25,9.172137404580152,3.2,2000,1,9
10,2000-01-10,-0.3,-4.6,4.2,92.2,1009.6,0.5,0.0,-0.2,0.0,0.1,0.2,0.5,1.8,0.05,2.48,0.09,9.172137404580152,3.1,2000,1,10
11,2000-01-11,3.7,2.2,4.9,95.2,1007.1,0.0,0.0,-0.2,0.0,0.1,0.3,0.6,1.9,-2.37,2.31,0.24,9.172137404580152,3.2,2000,1,11
12,2000-01-12,3.3,2.1,4.8,99.9,999.7,1.1,0.0,-0.2,0.0,0.2,0.3,0.6,1.8,0.24,1.3,0.18,9.172137404580152,3.2,2000,1,12
13,2000-01-13,1.3,-0.1,3.8,96.3,1002.6,0.1,0.0,-0.2,0.0,0.2,0.4,0.7,1.8,-0.23,1.0,0.24,9.172137404580152,3.1,2000,1,13
14,2000-01-14,-1.6,-6.8,0.5,76.0,1014.5,0.0,0.0,-0.2,0.0,0.2,0.3,0.5,1.9,-3.36,1.87,0.2,9.172137404580152,3.1,2000,1,14
15,2000-01-15,-4.8,-7.9,-1.2,97.2,1016.0,1.7434782608695654,0.0,-0.2,-0.2,0.1,0.3,0.5,1.8,-0.85,2.54,0.12,9.172137404580152,3.1,2000,1,15
16,2000-01-16,-1.3,-5.7,2.7,95.8,1004.9,1.7434782608695654,0.0,-0.2,-0.3,0.1,0.2,0.5,1.9,-0.58,1.44,0.29,9.172137404580152,3.1,2000,1,16
17,2000-01-17,6.4,-0.5,9.9,50.2,994.2,1.3,0.0,-0.2,-0.1,0.0,0.2,0.5,1.9,-3.65,3.74,-0.06,9.172137404580152,3.1,2000,1,17
18,2000-01-18,2.8,0.3,4.7,43.3,1001.4,0.0,0.0,-0.2,-0.2,-0.1,0.3,0.5,1.9,-5.33,3.69,0.22,9.172137404580152,3.1,2000,1,18
19,2000-01-19,-2.2,-4.7,2.8,70.1,1009.0,0.0,0.0,-0.7,-0.7,-0.1,0.2,0.4,1.9,-2.74,2.73,0.24,9.172137404580152,3.0,2000,1,19
20,2000-01-20,0.3,-3.7,5.0,75.4,997.3,0.0,0.0,-0.7,-0.8,-0.4,0.1,0.4,1.8,-1.93,2.1,0.2,9.172137404580152,3.0,2000,1,20
21,2000-01-21,-4.0,-7.5,-1.9,62.8,1005.4,0.2,0.0,-1.0,-1.4,-0.7,0.0,0.3,1.8,-3.76,4.13,0.25,9.172137404580152,3.0,2000,1,21
22,2000-01-22,-5.5,-11.0,-4.3,99.4,1000.1,1.7434782608695654,0.0,-0.4,-0.8,-0.6,-0.2,0.2,1.7,0.07,1.81,0.91,9.172137404580152,3.0,2000,1,22
23,2000-01-23,-12.8,-16.8,-8.2,97.3,1008.5,1.7434782608695654,0.0,-0.3,-0.7,-0.5,-0.2,0.1,1.6,0.04,4.13,0.93,9.172137404580152,2.9,2000,1,23
24,2000-01-24,-11.0,-16.1,-6.0,99.4,1007.6,9.0,0.0,-0.3,-0.7,-0.5,-0.3,0.1,1.6,-0.81,4.23,0.66,9.172137404580152,2.9,2000,1,24
25,2000-01-25,-8.3,-11.6,-5.0,99.7,1006.0,0.0,0.0,-0.3,-0.8,-0.5,-0.3,0.1,1.5,-1.01,5.02,0.76,9.172137404580152,2.8,2000,1,25
26,2000-01-26,-7.0,-11.0,-3.1,100.0,1001.3,0.0,0.0,-0.3,-0.8,-0.6,-0.3,0.0,1.5,-0.22,3.0,0.69,9.172137404580152,2.8,2000,1,26
27,2000-01-27,-1.1,-6.3,3.5,86.0,991.0,0.2,0.0,-0.3,-0.8,-0.6,-0.4,0.0,1.5,-2.15,2.81,0.62,9.172137404580152,2.7,2000,1,27
28,2000-01-28,-1.9,-6.8,0.7,77.8,982.8,0.0,0.0,-0.3,-0.7,-0.6,-0.3,0.0,1.5,-1.66,3.26,0.7,9.172137404580152,2.7,2000,1,28
29,2000-01-29,2.9,0.6,5.0,92.7,951.5,9.9,0.0,0.0,-0.3,-0.3,-0.2,0.1,1.4,-0.81,1.62,0.24,9.172137404580152,2.7,2000,1,29
30,2000-01-30,0.1,-4.5,3.9,48.4,970.1,0.0,0.0,-0.2,-0.4,-0.2,-0.1,0.1,1.4,-4.05,5.69,0.31,9.172137404580152,2.7,2000,1,30
31,2000-01-31,-2.9,-5.3,-0.3,59.0,986.4,0.0,0.0,-0.8,-1.4,-0.9,-0.4,0.1,1.4,-3.53,6.18,0.24,9.172137404580152,2.6,2000,1,31
32,2000-02-01,-5.2,-8.6,-2.3,86.3,990.5,0.0,0.0,-0.9,-1.9,-1.4,-0.9,0.0,1.4,-1.29,3.46,0.15,8.185152838427948,2.6,2000,2,1
33,2000-02-02,-3.2,-6.1,0.8,97.8,979.7,2.9,0.0,-0.4,-1.2,-1.0,-0.7,-0.1,1.4,-1.07,4.45,0.79,8.185152838427948,2.6,2000,2,2
34,2000-02-03,-4.4,-10.6,1.8,78.2,1001.9,0.0,0.0,-0.5,-1.4,-1.1,-0.8,-0.1,1.4,-3.22,6.83,0.61,8.185152838427948,2.6,2000,2,3
35,2000-02-04,2.9,-1.4,5.6,91.9,992.8,0.0,0.0,0.1,-0.5,-0.6,-0.6,-0.2,1.3,-1.46,4.23,0.24,8.185152838427948,2.5,2000,2,4
36,2000-02-05,2.3,-1.8,6.6,97.9,996.5,2.1095238095238096,0.0,0.2,-0.3,-0.3,-0.3,-0.1,1.2,0.24,4.06,0.21,8.185152838427948,2.5,2000,2,5
